strategy,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,var_05,skewness,avg_daily_turnover,avg_gross_exposure,avg_net_exposure,avg_transaction_cost,n_long_positions_total,n_short_positions_total,n_rebalance_dates,avg_long_per_rebal,avg_short_per_rebal
Omniscient,0.15590724016619206,0.1629398391505901,0.9712614560605203,1.1872183845490307,0.5462117221420372,-0.2854337134230339,-0.014946300097318562,-0.6122369778492086,0.0007770167984240173,1.0,1.0,7.770167984240173e-07,2795935,2795935,361,7745.0,7745.0
Predictive (quantile),0.03841957632075799,0.06540347934836423,0.6092084731475401,0.6270466573172971,0.29900440270247436,-0.12849167428142372,-0.006268730857210234,-0.5362922824986576,0.027972774467793206,1.1152007500506926,0.21399507723043773,2.7972774467793206e-05,178439,178446,240,743.5,743.5
Top-5 (equal),0.09500755400143412,0.28308007389347617,0.46291849406065866,0.5045436628242989,0.7098031494980411,-0.13385056697567713,-0.026931800000000002,-0.3000803754338997,0.08847220388221312,1.3291958272811304,-6.670427521516522e-19,8.847220388221312e-05,1200,1200,240,5.0,5.0
Top-5 (probability),0.09582002985527005,0.2832988264130294,0.4653993449260587,0.5071427717248874,0.7007505744480097,-0.13673913850266728,-0.027056793777587334,-0.30009927303865247,0.08852600748646929,1.3291958272811304,1.2901046635020966e-18,8.852600748646928e-05,1200,1200,240,5.0,5.0
Top-10 (equal),0.06050327709858094,0.2280395105846838,0.3724029761452437,0.39273572147153646,0.6602602069826349,-0.09163550439466694,-0.02180032,-0.5990351080944041,0.08070777763105771,1.3291958272811304,2.8221039514108365e-19,8.070777763105772e-05,2400,2400,240,10.0,10.0
Top-10 (probability),0.061620332858323135,0.22844604625070872,0.37675205994427197,0.39742463561248964,0.6524505448862266,-0.09444444999132985,-0.021814586748654278,-0.5921458839537453,0.080864759858558,1.3291958272811304,-1.5851428038768659e-18,8.0864759858558e-05,2400,2400,240,10.0,10.0
Top-20 (equal),0.02305831584810436,0.18989227132574096,0.21589854479411683,0.21857580794974585,0.6204039265968982,-0.037166618165339706,-0.01838292,-1.0507669456481157,0.07220388221312558,1.3290637792156346,0.00013204806549583993,7.220388221312558e-05,4800,4800,240,20.0,20.0
Top-20 (probability),0.023585978302616217,0.1903075811841017,0.218555651825724,0.22124843030216262,0.610485090664383,-0.038634814614305985,-0.018304036602754006,-1.048469027163493,0.0724833913876547,1.329069243811798,0.0001265834693323121,7.248339138765468e-05,4800,4800,240,20.0,20.0
Top-30 (equal),0.020893950862013844,0.1706227329397061,0.20732856037873204,0.2078439533375461,0.5814318879047755,-0.035935337047485374,-0.016564786666666664,-1.195030565245247,0.06706281086315419,1.3282670892204764,0.0009287380606540776,6.706281086315418e-05,7200,7200,240,30.0,30.0
Top-30 (probability),0.020391679250041816,0.17133972988264506,0.20431057199290464,0.20500877307032486,0.57185002044671,-0.035659138796764446,-0.016662125469361848,-1.1896426070169521,0.06752103018278915,1.3283181404144417,0.0008776868666886233,6.752103018278916e-05,7200,7200,240,30.0,30.0
Top-50 (equal),0.00957499604787726,0.1482835546818397,0.13900000667422097,0.1385459073762665,0.5057826385029276,-0.018931049266970514,-0.014355016,-1.1722600829487857,0.05981249174699591,1.3258629341080153,0.003332893173115014,5.981249174699591e-05,12000,12000,240,50.0,50.0
Top-50 (probability),0.009685495201952499,0.14971205748535477,0.13983916674822244,0.13964217988558703,0.5170965333876718,-0.018730535937844312,-0.01444489657777625,-1.163550104274226,0.0606126238146162,1.3261349845550092,0.003060842726121188,6.06126238146162e-05,12000,12000,240,50.0,50.0
Composite-5 (a=0.25),0.09181423060587601,0.2835775521218117,0.45234899089619157,0.49117957875391094,0.810387810577917,-0.11329665797959122,-0.02741428,-0.3301012607077681,0.08889475769179982,1.3291958272811304,-2.9320560534138557e-20,8.889475769179981e-05,1200,1200,240,5.0,5.0
Composite-5 (a=0.5),0.08910677742288864,0.28419817978308576,0.44321845756244715,0.48525471602015985,0.828774194228441,-0.10751635130947079,-0.02767864,-0.3110271173957187,0.08847220388221312,1.3291958272811304,9.74908637760107e-19,8.847220388221312e-05,1200,1200,240,5.0,5.0
Composite-5 (a=0.75),0.09073669584951927,0.28495943396806184,0.4480764500034811,0.4884955903585029,0.8172341574269804,-0.11102900560984759,-0.027285800000000002,-0.32830939772571127,0.08889475769179982,1.3291958272811304,1.3340855043033045e-18,8.889475769179981e-05,1200,1200,240,5.0,5.0
Composite-10 (a=0.25),0.04121021396796043,0.2338382067398369,0.29075418382203144,0.3029414336591945,0.7086549650182764,-0.05815272029724311,-0.02258804,-0.8270821299397266,0.08041727188696686,1.3291958272811304,-5.864112106827711e-20,8.041727188696685e-05,2400,2400,240,10.0,10.0
Composite-10 (a=0.5),0.04634519317969832,0.23125368736191762,0.31268876542562074,0.3248046475744058,0.6715105820861502,-0.06901632590170045,-0.02229028,-0.8642834789896513,0.08060213917866103,1.3291958272811304,-1.3487457845703737e-18,8.060213917866104e-05,2400,2400,240,10.0,10.0
Composite-10 (a=0.75),0.035734363617849985,0.23156675603826293,0.26865742390571457,0.2780784459153608,0.7084781545344594,-0.0504382010780996,-0.021690880000000003,-0.9438715877729469,0.08076059685725605,1.3291958272811304,-1.6016356191773188e-18,8.076059685725605e-05,2400,2400,240,10.0,10.0
Composite-20 (a=0.25),0.02606442411427068,0.19407553179893658,0.23053870187849226,0.23414098386850457,0.670750148103924,-0.038858618500420126,-0.018684890000000003,-1.022490504532522,0.07249438795721642,1.3291958272811304,2.803778601077e-19,7.249438795721643e-05,4800,4800,240,20.0,20.0
Composite-20 (a=0.5),0.020934606460759175,0.19525477190005308,0.20469454146484897,0.20733688267193745,0.6926070552651618,-0.030225805962580683,-0.01889285,-1.050086119212208,0.07249438795721642,1.3291958272811304,-6.963633126857908e-20,7.249438795721643e-05,4800,4800,240,20.0,20.0
Composite-20 (a=0.75),0.017156968803837325,0.1946099736644093,0.18574644387432682,0.1884179266168992,0.7020452298306211,-0.024438551926314916,-0.01897713,-1.1175600995410568,0.07286412254060479,1.3291958272811304,-2.0341138870558626e-19,7.286412254060479e-05,4800,4800,240,20.0,20.0
Asym-5L/20S,0.057683361070410166,0.21931726081766978,0.36591484496160803,0.40193043255171346,0.63666770759418,-0.09060198967587385,-0.02061936,-0.3967128300937723,0.0809718737620494,1.3291958272811304,2.5246835154926683e-17,8.097187376204938e-05,1200,4800,240,5.0,20.0
Asym-5L/30S,0.05512910845671071,0.2091695411523742,0.36168606207569864,0.3968289898255539,0.6062950155152195,-0.09092786027584757,-0.01951600666666667,-0.4371180934930056,0.07819886438663673,1.3291958272811304,5.866311148867773e-17,7.819886438663673e-05,1200,7200,240,5.0,30.0
Asym-10L/30S,0.0398695727060816,0.1899586373730373,0.30152611687767955,0.3134501597450683,0.6249599906545684,-0.06379540018925556,-0.01828173333333333,-0.8343920976251613,0.07381486861217483,1.3291958272811304,6.668778239986477e-17,7.381486861217483e-05,2400,7200,240,10.0,30.0
Asym-10L/50S,0.03701301591228989,0.17739587669856852,0.294157692557582,0.30834373016678246,0.5841337271328412,-0.06336394252385388,-0.016808556,-0.7635720731922672,0.07020203354020864,1.3287574277036842,0.000438399577446195,7.020203354020865e-05,2400,12000,240,10.0,50.0
VolScaled-10 (g=0.0),0.04984298853683189,0.20870824893068857,0.3380686578117606,0.3582818325914031,0.6166834958504266,-0.08082426215752181,-0.02005944313116156,-0.6140439387185364,0.083798592764808,1.3291958272811304,1.9324081927030696e-18,8.379859276480798e-05,2400,2400,240,10.0,10.0
VolScaled-10 (g=0.3),0.050100852535815754,0.2087867667611526,0.3391955718162511,0.3594783523081169,0.6143288792398081,-0.0815537967184813,-0.02007607307683254,-0.6122921021031952,0.08376938819756034,1.3291958272811304,-2.3538912503813113e-18,8.376938819756034e-05,2400,2400,240,10.0,10.0
VolScaled-10 (g=0.5),0.050262049301247114,0.2088526608871667,0.33988900044282383,0.36023627386511636,0.6128214687171879,-0.08201744205610173,-0.020099713836108115,-0.6111113943141168,0.08376350758290878,1.3291958272811304,7.412604210036904e-19,8.376350758290875e-05,2400,2400,240,10.0,10.0
VolScaled-20 (g=0.0),0.014203251855534615,0.17064267466939387,0.16873192576389856,0.17180450817996726,0.5760742515995555,-0.024655245076649724,-0.016700754197041166,-1.1090576212881151,0.07576088370857276,1.3289712724870295,0.00022455479410059744,7.576088370857274e-05,4800,4800,240,20.0,20.0
VolScaled-20 (g=0.3),0.014489473717862245,0.1707023855954336,0.17038591213771198,0.17347858292115273,0.5744127962304997,-0.025224844942430436,-0.01671024178808957,-1.1082741262147957,0.07567932676104075,1.3289736238108216,0.0002222034703086589,7.567932676104076e-05,4800,4800,240,20.0,20.0
VolScaled-20 (g=0.5),0.014661887870675683,0.17076504661057568,0.17138134773092742,0.17451327020716986,0.5732964023977025,-0.025574707619575393,-0.016686081263280406,-1.1072284016362401,0.07565869220949528,1.3289751901832465,0.00022063709788383478,7.565869220949529e-05,4800,4800,240,20.0,20.0
MomFilter-10,0.038172533122787344,0.23623983204301782,0.27774885441673125,0.28386167246501975,0.6940745379120506,-0.054997743092002546,-0.02283602,-0.7633852524379483,0.09491614947841014,1.3291958272811304,-2.1623913393927186e-19,9.491614947841016e-05,2400,2400,240,10.0,10.0
MomFilter-20,0.03927745295871743,0.19744457430312315,0.2948685276391116,0.2958692177113729,0.6579090190605271,-0.05970043246223371,-0.018861130000000004,-1.0764538687061964,0.08896078172454774,1.3291958272811304,1.8728508041181003e-18,8.896078172454774e-05,4800,4800,240,20.0,20.0
